Unnamed: 0,match_id,player,batting_team,runs,balls_faced,fours,sixes,is_dismissed,dismissal_kind,inning,strike_rate,balls_bowled,runs_conceded,dot_balls,wickets,overs,economy,maidens,catches,run_outs,direct_run_out,stadium,pitch_type,grass_cover,moisture,dew_prediction,bounce_and_carry,fantasy_points,matchYear,matchMonth,matchDay,matchDayOfWeek,matchDayOfYear
33,1216493,N Pooran,Kings XI Punjab,0.0,4.0,0.0,0.0,2.0,bowledbowled,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,-2.0,2020,9,20,6,264
36,1216493,RR Pant,Delhi Capitals,33.0,35.0,4.0,0.0,1.0,bowled,1.2571428571428571,94.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,57.0,2020,9,20,6,264
35,1216493,R Ashwin,Delhi Capitals,4.0,6.0,0.0,0.0,1.0,caught,1.0,66.66666666666666,6.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,68.0,2020,9,20,6,264
34,1216493,PP Shaw,Delhi Capitals,5.0,9.0,1.0,0.0,1.0,caught,1.0,55.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,25.0,2020,9,20,6,264
38,1216493,S Dhawan,Delhi Capitals,0.0,2.0,0.0,0.0,1.0,run out,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,-2.0,2020,9,20,6,264
924,1216534,MR Marsh,Sunrisers Hyderabad,0.0,1.0,0.0,0.0,1.0,caught,2.0,0.0,4.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,-1.0,2020,9,21,0,265
918,1216534,D Padikkal,Royal Challengers Bangalore,56.0,44.0,8.0,0.0,1.0,bowled,1.0,127.27272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,96.0,2020,9,21,0,265
922,1216534,JR Philippe,Royal Challengers Bangalore,1.0,2.0,0.0,0.0,0.0,0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,1.0,2020,9,21,0,265
921,1216534,JM Bairstow,Sunrisers Hyderabad,61.0,46.0,6.0,2.0,2.0,run outbowled,2.0,132.6086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,107.0,2020,9,21,0,265
920,1216534,DW Steyn,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,23.0,32.0,10.0,1.0,3.0,10.666666666666666,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,38.0,2020,9,21,0,265
