match_id,date,bowler,wickets,runs_given,overs_bowled
1216520,2020-10-26,CV Varun,1,34,4
1216520,2020-10-26,GJ Maxwell,1,21,2
1216520,2020-10-26,LH Ferguson,1,31,4
1216520,2020-10-26,M Ashwin,1,27,4
1216520,2020-10-26,M Prasidh Krishna,0,24,3
1216520,2020-10-26,Mohammed Shami,3,35,4
1216520,2020-10-26,PJ Cummins,0,31,4
1216520,2020-10-26,Ravi Bishnoi,2,20,4
1216520,2020-10-26,SP Narine,0,27,4
1216521,2020-10-23,DL Chahar,0,34,4
1216521,2020-10-23,Imran Tahir,0,22,3
1216521,2020-10-23,JJ Bumrah,2,25,4
1216521,2020-10-23,JR Hazlewood,0,17,2
1216521,2020-10-23,KA Pollard,0,4,1
1216521,2020-10-23,KH Pandya,0,14,3
1216521,2020-10-23,NM Coulter-Nile,1,20,4
1216521,2020-10-23,RA Jadeja,0,15,1
1216521,2020-10-23,RD Chahar,2,22,4
1216521,2020-10-23,SN Thakur,0,26,3
1216521,2020-10-23,TA Boult,4,17,4
1216522,2020-10-17,CH Morris,4,22,4
1216522,2020-10-17,I Udana,0,41,3
1216522,2020-10-17,JC Archer,0,37,4
1216522,2020-10-17,JD Unadkat,0,45,4
1216522,2020-10-17,Kartik Tyagi,1,29,4
1216522,2020-10-17,Navdeep Saini,0,30,4
1216522,2020-10-17,R Tewatia,1,24,4
1216522,2020-10-17,S Gopal,1,31,4
1216522,2020-10-17,Shahbaz Ahmed,0,18,2
1216522,2020-10-17,Washington Sundar,0,25,3
1216522,2020-10-17,YS Chahal,2,31,4
1216523,2020-10-10,Arshdeep Singh,2,23,4
1216523,2020-10-10,CJ Jordan,1,36,4
1216523,2020-10-10,CV Varun,0,27,4
1216523,2020-10-10,KL Nagarkoti,0,40,3
1216523,2020-10-10,M Prasidh Krishna,3,29,4
1216523,2020-10-10,Mohammed Shami,2,30,4
1216523,2020-10-10,Mujeeb Ur Rahman,0,41,4
1216523,2020-10-10,N Rana,0,7,1
1216523,2020-10-10,PJ Cummins,0,29,4
1216523,2020-10-10,Ravi Bishnoi,1,25,4
1216523,2020-10-10,SP Narine,2,28,4
1216524,2020-10-27,A Nortje,1,34,4
1216524,2020-10-27,AR Patel,0,35,4
1216524,2020-10-27,DA Warner,0,1,1
